n_episode,score,n_buffer,eps
20,-441.1,8830,7.90%
40,-280.7,10000,7.80%
60,-319.9,10000,7.70%
80,-335.2,10000,7.60%
100,-386.9,10000,7.50%
120,-271.8,10000,7.40%
140,-288.9,10000,7.30%
160,-199.8,10000,7.20%
180,-288.4,10000,7.10%
200,-269.4,10000,7.00%
220,-333.6,10000,6.90%
240,-278.5,10000,6.80%
260,-225,10000,6.70%
280,-279.8,10000,6.60%
300,-231.2,10000,6.50%
320,-274.6,10000,6.40%
340,-262.1,10000,6.30%
360,-263.6,10000,6.20%
380,-268.4,10000,6.10%
400,-383.7,10000,6.00%
420,-366.2,10000,5.90%
440,-290.4,10000,5.80%
460,-452.4,10000,5.70%
480,-500,10000,5.60%
500,-210.4,10000,5.50%
520,-262.2,10000,5.40%
540,-221.9,10000,5.30%
560,-274.4,10000,5.20%
580,-261.4,10000,5.10%
600,-264.1,10000,5.00%
620,-422.5,10000,4.90%
640,-497.1,10000,4.80%
660,-478.1,10000,4.70%
680,-492.4,10000,4.60%
700,-487.9,10000,4.50%
720,-500,10000,4.40%
740,-413.4,10000,4.30%
760,-483.7,10000,4.20%
780,-496.2,10000,4.10%
800,-379.9,10000,4.00%
820,-232.6,10000,3.90%
840,-318.4,10000,3.80%
860,-369.9,10000,3.70%
880,-430.8,10000,3.60%
900,-307.9,10000,3.50%
920,-202.3,10000,3.40%
940,-253.6,10000,3.30%
960,-336.3,10000,3.20%
980,-412.4,10000,3.10%
1000,-385.4,10000,3.00%
1020,-460.7,10000,2.90%
1040,-500,10000,2.80%
1060,-500,10000,2.70%
1080,-500,10000,2.60%
1100,-490.1,10000,2.50%
1120,-446,10000,2.40%
1140,-402.6,10000,2.30%
1160,-378.9,10000,2.20%
1180,-275.2,10000,2.10%
1200,-254.6,10000,2.00%
1220,-192.9,10000,1.90%
1240,-433.7,10000,1.80%
1260,-443.6,10000,1.70%
1280,-469,10000,1.60%
1300,-486.1,10000,1.50%
1320,-440.1,10000,1.40%
1340,-500,10000,1.30%
1360,-500,10000,1.20%
1380,-500,10000,1.10%
1400,-490.1,10000,1.00%
1420,-500,10000,1.00%
1440,-500,10000,1.00%
1460,-486,10000,1.00%
1480,-499.4,10000,1.00%
1500,-500,10000,1.00%
1520,-500,10000,1.00%
1540,-500,10000,1.00%
1560,-500,10000,1.00%
1580,-486,10000,1.00%
1600,-356.2,10000,1.00%
1620,-479.8,10000,1.00%
1640,-462.7,10000,1.00%
1660,-438.9,10000,1.00%
1680,-414.5,10000,1.00%
1700,-418.4,10000,1.00%
1720,-385.8,10000,1.00%
1740,-357.7,10000,1.00%
1760,-404.4,10000,1.00%
1780,-348.8,10000,1.00%
1800,-282.5,10000,1.00%
1820,-293.6,10000,1.00%
1840,-392.4,10000,1.00%
1860,-415.6,10000,1.00%
1880,-475.2,10000,1.00%
1900,-345.2,10000,1.00%
1920,-386.7,10000,1.00%
1940,-381.4,10000,1.00%
1960,-397.9,10000,1.00%
1980,-325.3,10000,1.00%
2000,-484.3,10000,1.00%
2020,-271.3,10000,1.00%
2040,-291.6,10000,1.00%
2060,-331.4,10000,1.00%
2080,-312.8,10000,1.00%
2100,-332.2,10000,1.00%
2120,-287.4,10000,1.00%
2140,-232.8,10000,1.00%
2160,-127.5,10000,1.00%
2180,-338.5,10000,1.00%
2200,-447.8,10000,1.00%
2220,-388.9,10000,1.00%
2240,-461.6,10000,1.00%
2260,-276.2,10000,1.00%
2280,-221.4,10000,1.00%
2300,-296.4,10000,1.00%
2320,-379.2,10000,1.00%
2340,-397.6,10000,1.00%
2360,-441.9,10000,1.00%
2380,-412.5,10000,1.00%
2400,-303.8,10000,1.00%
2420,-209.9,10000,1.00%
2440,-357.4,10000,1.00%
2460,-430.6,10000,1.00%
2480,-257.2,10000,1.00%
2500,-255.6,10000,1.00%
2520,-201.9,10000,1.00%
2540,-211.6,10000,1.00%
2560,-333.4,10000,1.00%
2580,-291.1,10000,1.00%
2600,-306.6,10000,1.00%
2620,-306.1,10000,1.00%
2640,-406.3,10000,1.00%
2660,-387.6,10000,1.00%
2680,-245.3,10000,1.00%
2700,-350.4,10000,1.00%
2720,-393.9,10000,1.00%
2740,-366.6,10000,1.00%
2760,-402.1,10000,1.00%
2780,-405.9,10000,1.00%
2800,-301.3,10000,1.00%
2820,-388.4,10000,1.00%
2840,-459.4,10000,1.00%
2860,-435.6,10000,1.00%
2880,-405.6,10000,1.00%
2900,-360.9,10000,1.00%
2920,-132.6,10000,1.00%
2940,-322.4,10000,1.00%
2960,-408.6,10000,1.00%
2980,-324.6,10000,1.00%
3000,-342.2,10000,1.00%
3020,-254.7,10000,1.00%
3040,-285.6,10000,1.00%
3060,-264.8,10000,1.00%
3080,-187.6,10000,1.00%
3100,-312.2,10000,1.00%
3120,-322.1,10000,1.00%
3140,-398.5,10000,1.00%
3160,-303.5,10000,1.00%
3180,-331.6,10000,1.00%
3200,-365.9,10000,1.00%
3220,-403.1,10000,1.00%
3240,-375.4,10000,1.00%
3260,-167.9,10000,1.00%
3280,-134.4,10000,1.00%
3300,-127.2,10000,1.00%
3320,-309.4,10000,1.00%
3340,-377.6,10000,1.00%
3360,-260.8,10000,1.00%
3380,-280.1,10000,1.00%
3400,-294.4,10000,1.00%
3420,-269.4,10000,1.00%
3440,-208.9,10000,1.00%
3460,-322,10000,1.00%
3480,-369.4,10000,1.00%
3500,-207.9,10000,1.00%
3520,-289.4,10000,1.00%
3540,-403.2,10000,1.00%
3560,-317.5,10000,1.00%
3580,-299.9,10000,1.00%
3600,-450.4,10000,1.00%
3620,-284.6,10000,1.00%
3640,-463.5,10000,1.00%
3660,-323.2,10000,1.00%
3680,-190.8,10000,1.00%
3700,-183.6,10000,1.00%
3720,-197.6,10000,1.00%
3740,-187.4,10000,1.00%
3760,-292.6,10000,1.00%
3780,-323.1,10000,1.00%
3800,-377.8,10000,1.00%
3820,-327.6,10000,1.00%
3840,-411.6,10000,1.00%
3860,-367.4,10000,1.00%
3880,-287.6,10000,1.00%
3900,-243.2,10000,1.00%
3920,-262.2,10000,1.00%
3940,-423.5,10000,1.00%
3960,-230.7,10000,1.00%
3980,-171.1,10000,1.00%
4000,-182.7,10000,1.00%
4020,-338.9,10000,1.00%
4040,-404.4,10000,1.00%
4060,-249.5,10000,1.00%
4080,-299.2,10000,1.00%
4100,-252.3,10000,1.00%
4120,-296,10000,1.00%
4140,-161.3,10000,1.00%
4160,-206.1,10000,1.00%
4180,-227.3,10000,1.00%
4200,-288.1,10000,1.00%
4220,-326.4,10000,1.00%
4240,-373.6,10000,1.00%
4260,-462.6,10000,1.00%
4280,-329.2,10000,1.00%
4300,-366.9,10000,1.00%
4320,-289.4,10000,1.00%
4340,-223.1,10000,1.00%
4360,-196.6,10000,1.00%
4380,-205.3,10000,1.00%
4400,-287.8,10000,1.00%
4420,-316.8,10000,1.00%
4440,-249.7,10000,1.00%
4460,-332.4,10000,1.00%
4480,-312.2,10000,1.00%
4500,-411.2,10000,1.00%
4520,-399.5,10000,1.00%
4540,-459.7,10000,1.00%
4560,-461.8,10000,1.00%
4580,-446.1,10000,1.00%
4600,-278.4,10000,1.00%
4620,-158.1,10000,1.00%
4640,-302.9,10000,1.00%
4660,-311.4,10000,1.00%
4680,-297.5,10000,1.00%
4700,-246.4,10000,1.00%
4720,-286.6,10000,1.00%
4740,-232.1,10000,1.00%
4760,-231.9,10000,1.00%
4780,-340,10000,1.00%
4800,-333.6,10000,1.00%
4820,-264.5,10000,1.00%
4840,-255.5,10000,1.00%
4860,-322.1,10000,1.00%
4880,-356.9,10000,1.00%
4900,-153,10000,1.00%
4920,-172.3,10000,1.00%
4940,-258.4,10000,1.00%
4960,-314.6,10000,1.00%
4980,-204.6,10000,1.00%
5000,-227.1,10000,1.00%
5020,-331,10000,1.00%
5040,-182.7,10000,1.00%
5060,-248.7,10000,1.00%
5080,-223.3,10000,1.00%
5100,-253.5,10000,1.00%
5120,-101.7,10000,1.00%
5140,-133.5,10000,1.00%
5160,-249.3,10000,1.00%
5180,-368.2,10000,1.00%
5200,-197.2,10000,1.00%
5220,-157.7,10000,1.00%
5240,-130.9,10000,1.00%
5260,-222.1,10000,1.00%
5280,-362.8,10000,1.00%
5300,-326.4,10000,1.00%
5320,-401.5,10000,1.00%
5340,-425.2,10000,1.00%
5360,-289.1,10000,1.00%
5380,-255.3,10000,1.00%
5400,-292.4,10000,1.00%
5420,-242.4,10000,1.00%
5440,-365.9,10000,1.00%
5460,-209.8,10000,1.00%
5480,-215.1,10000,1.00%
5500,-391.4,10000,1.00%
5520,-357.7,10000,1.00%
5540,-391.1,10000,1.00%
5560,-422.8,10000,1.00%
5580,-456.9,10000,1.00%
5600,-385.8,10000,1.00%
5620,-235,10000,1.00%
5640,-194.1,10000,1.00%
5660,-162.8,10000,1.00%
5680,-231.8,10000,1.00%
5700,-293.6,10000,1.00%
5720,-298.1,10000,1.00%
5740,-324.9,10000,1.00%
5760,-396.3,10000,1.00%
5780,-438.8,10000,1.00%
5800,-482.1,10000,1.00%
5820,-500,10000,1.00%
5840,-461,10000,1.00%
5860,-427.2,10000,1.00%
5880,-403.9,10000,1.00%
5900,-285.5,10000,1.00%
5920,-330.2,10000,1.00%
5940,-278.2,10000,1.00%
5960,-255.1,10000,1.00%
5980,-303.1,10000,1.00%
