n_episode,score,n_buffer,eps
20,-234.3,4706,7.9
40,-359.1,10000,7.8
60,-420.3,10000,7.7
80,-368.4,10000,7.6
100,-298.6,10000,7.5
120,-264.1,10000,7.4
140,-486.2,10000,7.3
160,-500,10000,7.2
180,-500,10000,7.1
200,-500,10000,7
220,-500,10000,6.9
240,-487.9,10000,6.8
260,-469.8,10000,6.7
280,-482.4,10000,6.6
300,-493.6,10000,6.5
320,-500,10000,6.4
340,-500,10000,6.3
360,-500,10000,6.2
380,-500,10000,6.1
400,-500,10000,6
420,-500,10000,5.9
440,-500,10000,5.8
460,-500,10000,5.7
480,-500,10000,5.6
500,-500,10000,5.5
520,-500,10000,5.4
540,-492.8,10000,5.3
560,-492,10000,5.2
580,-482.4,10000,5.1
600,-496.4,10000,5
620,-390.9,10000,4.9
640,-406.1,10000,4.8
660,-418.1,10000,4.7
680,-354.5,10000,4.6
700,-396.9,10000,4.5
720,-451,10000,4.4
740,-436.2,10000,4.3
760,-476.2,10000,4.2
780,-391.4,10000,4.1
800,-270.2,10000,4
820,-318.2,10000,3.9
840,-305.1,10000,3.8
860,-352.2,10000,3.7
880,-380.9,10000,3.6
900,-276.4,10000,3.5
920,-249.1,10000,3.4
940,-357.3,10000,3.3
960,-169.4,10000,3.2
980,-413.2,10000,3.1
1000,-467.4,10000,3
1020,-343.4,10000,2.9
1040,-476.9,10000,2.8
1060,-500,10000,2.7
1080,-500,10000,2.6
1100,-500,10000,2.5
1120,-500,10000,2.4
1140,-377.6,10000,2.3
1160,-453.3,10000,2.2
1180,-492.5,10000,2.1
1200,-385.2,10000,2
1220,-476.9,10000,1.9
1240,-346.4,10000,1.8
1260,-470.6,10000,1.7
1280,-487.9,10000,1.6
1300,-500,10000,1.5
1320,-500,10000,1.4
1340,-500,10000,1.3
1360,-431.8,10000,1.2
1380,-483.4,10000,1.1
1400,-500,10000,1
1420,-500,10000,1
1440,-500,10000,1
1460,-500,10000,1
1480,-500,10000,1
1500,-500,10000,1
1520,-500,10000,1
1540,-500,10000,1
1560,-500,10000,1
1580,-500,10000,1
1600,-500,10000,1
1620,-500,10000,1
1640,-500,10000,1
1660,-500,10000,1
1680,-500,10000,1
1700,-500,10000,1
1720,-500,10000,1
1740,-500,10000,1
1760,-500,10000,1
1780,-500,10000,1
1800,-500,10000,1
1820,-500,10000,1
1840,-500,10000,1
1860,-500,10000,1
1880,-500,10000,1
1900,-500,10000,1
1920,-500,10000,1
1940,-500,10000,1
1960,-500,10000,1
1980,-500,10000,1
2000,-500,10000,1
2020,-500,10000,1
2040,-500,10000,1
2060,-500,10000,1
2080,-500,10000,1
2100,-500,10000,1
2120,-500,10000,1
2140,-500,10000,1
2160,-500,10000,1
2180,-500,10000,1
2200,-500,10000,1
2220,-500,10000,1
2240,-500,10000,1
2260,-500,10000,1
2280,-500,10000,1
2300,-500,10000,1
2320,-500,10000,1
2340,-500,10000,1
2360,-500,10000,1
2380,-500,10000,1
2400,-500,10000,1
2420,-500,10000,1
2440,-500,10000,1
2460,-500,10000,1
2480,-500,10000,1
2500,-500,10000,1
2520,-500,10000,1
2540,-500,10000,1
2560,-500,10000,1
2580,-500,10000,1
2600,-500,10000,1
2620,-500,10000,1
2640,-500,10000,1
2660,-500,10000,1
2680,-500,10000,1
2700,-500,10000,1
2720,-500,10000,1
2740,-500,10000,1
2760,-500,10000,1
2780,-500,10000,1
2800,-500,10000,1
2820,-500,10000,1
2840,-500,10000,1
2860,-500,10000,1
2880,-500,10000,1
2900,-500,10000,1
2920,-500,10000,1
2940,-500,10000,1
2960,-500,10000,1
2980,-500,10000,1
